                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3276,                0.68732,                 1.0918,                0.93047,                0.76923,                0.85217,                0.40185,                   1.83,                 1.1197,                 1.3233,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.2965,                 0.6282,                 1.0872,                0.91062,                0.78375,                0.85548,                0.43124,                 1.7532,                0.98953,                 1.2712,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.3209,                0.63098,                 1.1002,                0.82065,                0.85479,                0.86337,                0.42433,                 1.7681,                  1.033,                 1.2689,               0.001307,               0.001307,               0.001307
                     38,                 1.2671,                0.62251,                 1.0751,                0.85885,                0.82418,                0.86608,                0.44269,                 1.7169,                0.96108,                 1.2663,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.2549,                0.60795,                 1.0781,                0.84625,                0.84676,                0.84121,                0.43624,                 1.7126,                0.96444,                 1.2658,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.3034,                0.63785,                 1.0778,                0.89181,                0.78022,                0.83213,                0.38007,                 1.8644,                 1.0571,                 1.3482,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.2329,                0.59774,                 1.0596,                0.90215,                0.81051,                0.84086,                0.44485,                 1.6828,                0.97774,                 1.2727,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.2701,                0.59971,                 1.0616,                0.91383,                 0.8158,                0.83663,                0.41373,                 1.7158,                  1.054,                 1.2537,               0.001208,               0.001208,               0.001208
                     43,                    1.3,                0.62972,                  1.073,                0.91805,                 0.8022,                0.82733,                  0.407,                 1.7429,                 1.0178,                 1.2664,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.2358,                0.61559,                 1.0515,                0.92591,                0.79121,                0.85401,                0.44079,                 1.6729,                 1.0135,                  1.219,              0.0011684,              0.0011684,              0.0011684
                     45,                  1.207,                0.58189,                 1.0482,                0.97169,                0.79121,                 0.8586,                0.41846,                 1.7125,                 1.0106,                 1.2645,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.1305,                0.56665,                 1.0265,                0.91954,                0.81319,                0.86142,                0.43702,                 1.7363,                  1.009,                 1.2964,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.1414,                0.55511,                 1.0395,                 0.9652,                0.78022,                0.88831,                0.43596,                 1.7198,                0.92052,                 1.2817,               0.001109,               0.001109,               0.001109
                     48,                 1.1415,                0.54878,                 1.0178,                 0.8909,                0.76923,                0.85597,                 0.4354,                  1.798,                0.98927,                 1.3326,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.1418,                0.54469,                 1.0295,                0.89269,                0.76923,                0.85383,                0.44208,                 1.7759,                0.99549,                 1.3092,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.1965,                0.58591,                 1.0368,                0.89405,                0.82418,                0.89194,                0.45754,                 1.6922,                0.97154,                 1.2677,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.0819,                0.57027,                0.97787,                0.91679,                0.81319,                0.86844,                0.42549,                 1.8163,                0.97208,                 1.3434,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.1039,                0.54086,                  1.011,                0.89198,                0.83516,                0.87789,                0.45431,                 1.7001,                0.93306,                  1.242,                0.00101,                0.00101,                0.00101
                     53,                 1.1214,                0.54331,                 1.0218,                0.86136,                0.85714,                0.87709,                0.45128,                 1.6644,                 0.9545,                 1.2351,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.1304,                0.55839,                 1.0119,                0.94857,                0.81081,                0.87975,                0.43908,                 1.7139,                 1.0176,                  1.249,              0.0009704,              0.0009704,              0.0009704
